;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Semana;Etapa;Objetivo;Aplica‡Æo ;;;;;
1;Planejamento e defini‡Æo do problema;Escolher o tema, definir escopo e objetivos;"ReuniÆo com o grupo; levantamento preliminar de dados.";;;;;
2;Coleta de dados;Obter informa‡äes relevantes;Leitura de artigos, pesquisas ;;;;;
3;Organiza‡Æo dos dados;Estruturar os dados coletados;Criar planilhas no Excel/Google Sheets, padronizar informa‡äes e limpar inconsistˆncias.;;;;;
4;An lise explorat¢ria;Identificar padräes e problemas;Utilizar gr ficos no Power BI, Python e Excel para visualizar desempenho, frequˆncia e engajamento.;;;;;
5;Identifica‡Æo de fatores cr¡ticos;Descobrir principais causas de baixo desempenho;Correlacionar dados (ex.: frequˆncia vs. notas).;;;;;
6;Proposta de a‡äes de melhoria;Desenvolver estrat‚gias para corrigir problemas;Ex.: refor‡o escolar, oficinas de estudo, treinamentos para professores.;;;;;
7;Planejamento da interven‡Æo;Detalhar cronograma de a‡äes;Definir respons veis, cronograma e recursos necess rios.;;;;;
8;Implementa‡Æo piloto;Aplicar a‡äes em uma turma ou segmento;Testar estrat‚gias em pequena escala para medir impacto.;;;;;
9;Avalia‡Æo dos resultados;Medir efic cia das a‡äes;Comparar desempenho pr‚ e p¢s-interven‡Æo, coletar feedback.;;;;;
10;Relat¢rio final e apresenta‡Æo;Documentar e apresentar resultados;Criar relat¢rio com gr ficos, conclusäes e recomenda‡äes para expansÆo.;;;;;
